,Cluster,Representative,Mean_Distance,Max_Distance,Cluster_Size
0,1,BCMPEBLS.Index,0.3194434695250584,0.507076223363436,4
1,2,GlobalPropertyVol12,0.5763395182158703,0.6753546978258387,12
2,3,MXWD_Fundamental_PC1,0.41412233198693593,0.5651608234655978,5
3,4,SA_CDS_Slope,0.4461262185174343,0.6718235749976429,5
4,5,SA_RB_Curvature,0.4973133922864415,0.7324958038134282,6
5,6,JALSH_Fundamental_PC1,0.6939275438095394,0.755322117759772,42
6,7,RandPPP_Factor_Inst_TS_ST,0.0,0.0,2
7,8,MichgnConcIndx,0.5558594295932998,0.6388597738794061,10
8,9,PPP.ZA.Index_QS,0.9090909090909091,1.0,11
9,10,GLD_FracDiff,0.0,0.0,2
10,11,VolTermStructPC2,0.8562064615422069,0.8974711545526601,44
11,12,USDZAR_EntDyn,0.0,0.0,2
12,13,GLD_StructBreak,0.0,0.0,2
13,14,GLD_LempZiev,0.05688377739595535,0.1137675547919107,2
14,15,GlobalEquity_EntDyn,0.8226561981270109,0.9384575101230266,10
15,16,ZAR18M.Curncy_QS,0.2290284736937759,0.43500530115936453,9
16,17,GLD_RollSkew,0.0,0.0,2
17,18,GLD_RollKurt,0.0,0.0,2
18,19,GlobalEquityTS,0.8088776769431829,0.8663059180910889,39
19,20,TOP40.Index.Price.to.Book.Ratio_Diff,0.5057243864353234,0.7685004922377283,4
20,21,GenComIndexPC1_QS,0.5503928770156699,0.8477660782446161,6
21,22,US_RB_Curvature,0.3389796676679192,0.5920743445558977,4
22,23,MXWD.Index.PE.Ratio_QS,0.6545308393620883,0.8310729679431968,8
23,24,TOP40.Index.Price.to.Ebitda_Diff,0.4279580570574947,0.6908679698327869,4
24,25,JALSH.Index.Price.to.Sales.Ratio_Diff,0.7105706171202283,0.8374909453922161,14
25,26,VolTermStructPC1,0.3464493066160993,0.549820846378628,5
26,27,GLD_RollSD,0.0,0.0,2
27,28,GlobalBondVol6,0.7731483990274461,0.8416834014879789,48
28,29,SA_NB_Slope,0.7368755819533785,0.8456054337606369,16
29,30,EURUSDV6M.Curncy_QS,0.5041290616510076,0.7823638716748423,10
30,31,USDZARV1Y.Curncy_QS,0.3140261964300692,0.45317336656593776,5
31,32,USDZARV1M.Curncy_QS,0.45598843822067775,0.6983338110272879,6
