,base_score,colsample_bytree,learning_rate,max_depth,subsample,mean_auc
78,0.5,1.0,0.5,10,0.6,0.557507426069588
160,0.6,1.0,0.5,10,0.8,0.5394927481183981
45,0.5,0.8,0.5,3,0.6,0.5337234118236661
79,0.5,1.0,0.5,10,0.8,0.5336989106655106
52,0.5,0.8,0.5,10,0.8,0.5314176952535737
53,0.5,0.8,0.5,10,1.0,0.5299896410614664
51,0.5,0.8,0.5,10,0.6,0.5294227597926848
105,0.6,0.6,0.5,10,0.6,0.5260524347596741
214,0.7,0.8,0.5,10,0.8,0.5251861206064892
240,0.7,1.0,0.5,10,0.6,0.5250528759946809
80,0.5,1.0,0.5,10,1.0,0.524439288428729
46,0.5,0.8,0.5,3,0.8,0.5223891417944009
50,0.5,0.8,0.5,6,1.0,0.5222884078998012
161,0.6,1.0,0.5,10,1.0,0.5187946186206982
154,0.6,1.0,0.5,3,0.8,0.5187319019431813
188,0.7,0.6,0.5,10,1.0,0.5180806591736551
103,0.6,0.6,0.5,6,0.8,0.5174998119336799
155,0.6,1.0,0.5,3,1.0,0.5174878247110601
22,0.5,0.6,0.5,6,0.8,0.5171229310166676
131,0.6,0.8,0.5,6,1.0,0.5166662959848438
237,0.7,1.0,0.5,6,0.6,0.5163621149458557
76,0.5,1.0,0.5,6,0.8,0.5160165306500188
49,0.5,0.8,0.5,6,0.8,0.5158162611762455
204,0.7,0.8,0.1,10,0.6,0.5157158608071186
132,0.6,0.8,0.5,10,0.6,0.5148090543446836
181,0.7,0.6,0.5,3,0.8,0.5146475267595855
96,0.6,0.6,0.1,10,0.6,0.5140690098108703
21,0.5,0.6,0.5,6,0.6,0.5121430780224872
74,0.5,1.0,0.5,3,1.0,0.5118532895120015
4,0.5,0.6,0.01,6,0.8,0.5117936127106032
149,0.6,1.0,0.1,6,1.0,0.5117876113173241
69,0.5,1.0,0.1,10,0.6,0.51156551944864
125,0.6,0.8,0.1,10,1.0,0.5102495112409116
206,0.7,0.8,0.1,10,1.0,0.5100542461626735
157,0.6,1.0,0.5,6,0.8,0.510049466909171
3,0.5,0.6,0.01,6,0.6,0.5095176338117812
159,0.6,1.0,0.5,10,0.6,0.5094828837155687
241,0.7,1.0,0.5,10,0.8,0.509203634519036
139,0.6,1.0,0.01,6,0.8,0.5090943255538369
7,0.5,0.6,0.01,10,0.8,0.5090371352091558
142,0.6,1.0,0.01,10,0.8,0.5088465569913019
61,0.5,1.0,0.01,10,0.8,0.508704587331804
30,0.5,0.8,0.01,6,0.6,0.5086234324767258
130,0.6,0.8,0.5,6,0.8,0.5084031003728953
26,0.5,0.6,0.5,10,1.0,0.5081153497454048
58,0.5,1.0,0.01,6,0.8,0.508089210068538
211,0.7,0.8,0.5,6,0.8,0.508037139652038
67,0.5,1.0,0.1,6,0.8,0.5080141740077642
178,0.7,0.6,0.1,10,0.8,0.5079882872641396
85,0.6,0.6,0.01,6,0.8,0.5079372771207511
158,0.6,1.0,0.5,6,1.0,0.5074934883601401
54,0.5,1.0,0.01,3,0.6,0.507477735178915
8,0.5,0.6,0.01,10,1.0,0.5068841089353883
89,0.6,0.6,0.01,10,1.0,0.5064343826961549
141,0.6,1.0,0.01,10,0.6,0.5063058388207595
231,0.7,1.0,0.1,10,0.6,0.5062762167098553
232,0.7,1.0,0.1,10,0.8,0.5062641843816877
34,0.5,0.8,0.01,10,0.8,0.5062306123185033
84,0.6,0.6,0.01,6,0.6,0.5054974934175587
182,0.7,0.6,0.5,3,1.0,0.5054845205784633
126,0.6,0.8,0.5,3,0.6,0.5054654945870202
23,0.5,0.6,0.5,6,1.0,0.5046573143209463
133,0.6,0.8,0.5,10,0.8,0.5045599351580993
27,0.5,0.8,0.01,3,0.6,0.5042127431577372
57,0.5,1.0,0.01,6,0.6,0.5041469257524306
212,0.7,0.8,0.5,6,1.0,0.5040627128114048
47,0.5,0.8,0.5,3,1.0,0.5038177296600628
138,0.6,1.0,0.01,6,0.6,0.5034121357603771
233,0.7,1.0,0.1,10,1.0,0.5030786005487762
238,0.7,1.0,0.5,6,0.8,0.5029870078168832
242,0.7,1.0,0.5,10,1.0,0.5029638321171677
98,0.6,0.6,0.1,10,1.0,0.5029004368373977
108,0.6,0.8,0.01,3,0.6,0.5025790348629342
187,0.7,0.6,0.5,10,0.8,0.5023264431946826
87,0.6,0.6,0.01,10,0.6,0.502239083363792
33,0.5,0.8,0.01,10,0.6,0.5020232767573193
0,0.5,0.6,0.01,3,0.6,0.5017156078882035
14,0.5,0.6,0.1,6,1.0,0.5016766276629081
135,0.6,1.0,0.01,3,0.6,0.5016668590871726
184,0.7,0.6,0.5,6,0.8,0.5015564344264796
90,0.6,0.6,0.1,3,0.6,0.501548237356519
122,0.6,0.8,0.1,6,1.0,0.5011715943392653
183,0.7,0.6,0.5,6,0.6,0.5011419800324783
230,0.7,1.0,0.1,6,1.0,0.5009204338884368
60,0.5,1.0,0.01,10,0.6,0.5007831456464599
44,0.5,0.8,0.1,10,1.0,0.5007198163084291
81,0.6,0.6,0.01,3,0.6,0.5006698429457349
41,0.5,0.8,0.1,6,1.0,0.5005884761885072
234,0.7,1.0,0.5,3,0.6,0.50001009862489
75,0.5,1.0,0.5,6,0.6,0.49989226927568675
220,0.7,1.0,0.01,6,0.8,0.49980068090517166
215,0.7,0.8,0.5,10,1.0,0.49970996244606597
35,0.5,0.8,0.01,10,1.0,0.4995456662718104
39,0.5,0.8,0.1,6,0.6,0.4993749273616349
31,0.5,0.8,0.01,6,0.8,0.4992925086822047
129,0.6,0.8,0.5,6,0.6,0.49925797171213554
177,0.7,0.6,0.1,10,0.6,0.4992537776496298
195,0.7,0.8,0.01,10,0.6,0.49911581711098413
88,0.6,0.6,0.01,10,0.8,0.4990867785673726
18,0.5,0.6,0.5,3,0.6,0.4989018902974192
174,0.7,0.6,0.1,6,0.6,0.49865109369580435
120,0.6,0.8,0.1,6,0.6,0.49855814574528823
32,0.5,0.8,0.01,6,1.0,0.49849114612490214
17,0.5,0.6,0.1,10,1.0,0.498080283684114
124,0.6,0.8,0.1,10,0.8,0.49794221252985144
43,0.5,0.8,0.1,10,0.8,0.49790969693428966
116,0.6,0.8,0.01,10,1.0,0.4977476143134208
189,0.7,0.8,0.01,3,0.6,0.49770917942191667
143,0.6,1.0,0.01,10,1.0,0.49752966241902213
24,0.5,0.6,0.5,10,0.6,0.4974225560334157
93,0.6,0.6,0.1,6,0.6,0.4972284152481604
197,0.7,0.8,0.01,10,1.0,0.497007041160351
111,0.6,0.8,0.01,6,0.6,0.4968978628879772
97,0.6,0.6,0.1,10,0.8,0.49684596934490566
112,0.6,0.8,0.01,6,0.8,0.49678290846942874
71,0.5,1.0,0.1,10,1.0,0.4967435124409967
222,0.7,1.0,0.01,10,0.6,0.4965605734066331
128,0.6,0.8,0.5,3,1.0,0.49645719077989103
6,0.5,0.6,0.01,10,0.6,0.4963610490803707
216,0.7,1.0,0.01,3,0.6,0.4963429606708999
219,0.7,1.0,0.01,6,0.6,0.49616791001898697
77,0.5,1.0,0.5,6,1.0,0.49611303019218944
70,0.5,1.0,0.1,10,0.8,0.4960946970935988
48,0.5,0.8,0.5,6,0.6,0.4958540217069899
152,0.6,1.0,0.1,10,1.0,0.49583661379115684
99,0.6,0.6,0.5,3,0.6,0.4957913998960616
162,0.7,0.6,0.01,3,0.6,0.49551566878690617
102,0.6,0.6,0.5,6,0.6,0.4954578245188035
55,0.5,1.0,0.01,3,0.8,0.49539204667730197
168,0.7,0.6,0.01,10,0.6,0.4952782010654822
136,0.6,1.0,0.01,3,0.8,0.4952135678620899
229,0.7,1.0,0.1,6,0.8,0.4947149702953433
151,0.6,1.0,0.1,10,0.8,0.4945608326892505
15,0.5,0.6,0.1,10,0.6,0.4945301603629148
36,0.5,0.8,0.1,3,0.6,0.4945053966000684
16,0.5,0.6,0.1,10,0.8,0.49445574605978154
12,0.5,0.6,0.1,6,0.6,0.4943337919809678
115,0.6,0.8,0.01,10,0.8,0.49410605708848954
208,0.7,0.8,0.5,3,0.8,0.4941043305089832
147,0.6,1.0,0.1,6,0.6,0.4940860947186346
223,0.7,1.0,0.01,10,0.8,0.49408160082411945
192,0.7,0.8,0.01,6,0.6,0.4938315517338415
226,0.7,1.0,0.1,3,0.8,0.4930418498279419
166,0.7,0.6,0.01,6,0.8,0.49297891757353074
127,0.6,0.8,0.5,3,0.8,0.4925194791303518
165,0.7,0.6,0.01,6,0.6,0.49250415822945814
210,0.7,0.8,0.5,6,0.6,0.4924361191213782
236,0.7,1.0,0.5,3,1.0,0.49233466781494045
59,0.5,1.0,0.01,6,1.0,0.49229126940319634
207,0.7,0.8,0.5,3,0.6,0.4921661633044404
170,0.7,0.6,0.01,10,1.0,0.49212754108826184
1,0.5,0.6,0.01,3,0.8,0.49191067948740796
72,0.5,1.0,0.5,3,0.6,0.49173888284017686
121,0.6,0.8,0.1,6,0.8,0.4917182811085145
169,0.7,0.6,0.01,10,0.8,0.49159893297358687
203,0.7,0.8,0.1,6,1.0,0.4915835567676233
117,0.6,0.8,0.1,3,0.6,0.4914934459411205
146,0.6,1.0,0.1,3,1.0,0.49140312989556706
235,0.7,1.0,0.5,3,0.8,0.49103721767055664
95,0.6,0.6,0.1,6,1.0,0.4910112397118924
100,0.6,0.6,0.5,3,0.8,0.4908161104963756
28,0.5,0.8,0.01,3,0.8,0.4907169216898457
68,0.5,1.0,0.1,6,1.0,0.49067358368991004
20,0.5,0.6,0.5,3,1.0,0.4903540817726527
38,0.5,0.8,0.1,3,1.0,0.4900878940540472
202,0.7,0.8,0.1,6,0.8,0.48991692685292865
217,0.7,1.0,0.01,3,0.8,0.48971548041075125
19,0.5,0.6,0.5,3,0.8,0.48949746600739824
42,0.5,0.8,0.1,10,0.6,0.48949409384913845
114,0.6,0.8,0.01,10,0.6,0.48944583028978245
190,0.7,0.8,0.01,3,0.8,0.4894409945593231
224,0.7,1.0,0.01,10,1.0,0.489031138679036
134,0.6,0.8,0.5,10,1.0,0.4890191877396145
196,0.7,0.8,0.01,10,0.8,0.48891792950068763
13,0.5,0.6,0.1,6,0.8,0.48886407569612506
209,0.7,0.8,0.5,3,1.0,0.4888428279804276
25,0.5,0.6,0.5,10,0.8,0.4884859635364939
101,0.6,0.6,0.5,3,1.0,0.4878499134758457
175,0.7,0.6,0.1,6,0.8,0.48773212438694
109,0.6,0.8,0.01,3,0.8,0.48762162360170425
113,0.6,0.8,0.01,6,1.0,0.4874486488795783
82,0.6,0.6,0.01,3,0.8,0.4872850090316743
205,0.7,0.8,0.1,10,0.8,0.4869774385837692
66,0.5,1.0,0.1,6,0.6,0.48657504991352135
194,0.7,0.8,0.01,6,1.0,0.4865548412703752
145,0.6,1.0,0.1,3,0.8,0.48650476776836316
148,0.6,1.0,0.1,6,0.8,0.4863420349343017
62,0.5,1.0,0.01,10,1.0,0.4863150558781947
193,0.7,0.8,0.01,6,0.8,0.4861525451460902
186,0.7,0.6,0.5,10,0.6,0.4858856705246679
150,0.6,1.0,0.1,10,0.6,0.48556980860941595
201,0.7,0.8,0.1,6,0.6,0.4853153563553613
199,0.7,0.8,0.1,3,0.8,0.48516165447381576
163,0.7,0.6,0.01,3,0.8,0.48459520235598336
167,0.7,0.6,0.01,6,1.0,0.48448984177561105
227,0.7,1.0,0.1,3,1.0,0.48445474394396315
185,0.7,0.6,0.5,6,1.0,0.4843460414101398
172,0.7,0.6,0.1,3,0.8,0.4839451834521519
107,0.6,0.6,0.5,10,1.0,0.4835913781846056
239,0.7,1.0,0.5,6,1.0,0.4835532556661205
64,0.5,1.0,0.1,3,0.8,0.4834815508200574
91,0.6,0.6,0.1,3,0.8,0.4829424651497839
123,0.6,0.8,0.1,10,0.6,0.48256478719525725
179,0.7,0.6,0.1,10,1.0,0.482487940295813
94,0.6,0.6,0.1,6,0.8,0.48204658364930764
180,0.7,0.6,0.5,3,0.6,0.481569899612493
92,0.6,0.6,0.1,3,1.0,0.48118871949737246
118,0.6,0.8,0.1,3,0.8,0.480644122910644
171,0.7,0.6,0.1,3,0.6,0.4800605182221528
10,0.5,0.6,0.1,3,0.8,0.4799667543911486
40,0.5,0.8,0.1,6,0.8,0.47914611628555137
65,0.5,1.0,0.1,3,1.0,0.47911621476354344
29,0.5,0.8,0.01,3,1.0,0.47910623268710273
73,0.5,1.0,0.5,3,0.8,0.4781979258344336
140,0.6,1.0,0.01,6,1.0,0.47813216240660744
106,0.6,0.6,0.5,10,0.8,0.47700836443448213
104,0.6,0.6,0.5,6,1.0,0.47696426100539985
11,0.5,0.6,0.1,3,1.0,0.47684215629772775
164,0.7,0.6,0.01,3,1.0,0.476683403995079
218,0.7,1.0,0.01,3,1.0,0.47660433953285536
137,0.6,1.0,0.01,3,1.0,0.4763044234611039
200,0.7,0.8,0.1,3,1.0,0.4762286327118287
213,0.7,0.8,0.5,10,0.6,0.4762249667187395
156,0.6,1.0,0.5,6,0.6,0.4758659696837344
225,0.7,1.0,0.1,3,0.6,0.4758349187801995
176,0.7,0.6,0.1,6,1.0,0.47544783490602127
9,0.5,0.6,0.1,3,0.6,0.47524287730986103
56,0.5,1.0,0.01,3,1.0,0.4751070809299785
119,0.6,0.8,0.1,3,1.0,0.4744576207319473
5,0.5,0.6,0.01,6,1.0,0.474398477722464
37,0.5,0.8,0.1,3,0.8,0.47436307089509294
2,0.5,0.6,0.01,3,1.0,0.47428509848286327
191,0.7,0.8,0.01,3,1.0,0.47304119280066803
221,0.7,1.0,0.01,6,1.0,0.47296328206201144
110,0.6,0.8,0.01,3,1.0,0.4719726692250997
83,0.6,0.6,0.01,3,1.0,0.47165496351935987
198,0.7,0.8,0.1,3,0.6,0.4708469388672835
228,0.7,1.0,0.1,6,0.6,0.4694685720411663
63,0.5,1.0,0.1,3,0.6,0.46910200938686647
86,0.6,0.6,0.01,6,1.0,0.46737419430409693
144,0.6,1.0,0.1,3,0.6,0.4661108603171197
153,0.6,1.0,0.5,3,0.6,0.4656807624604484
173,0.7,0.6,0.1,3,1.0,0.46364357604633133
